Day,Month,Year,Value
05,January,1997,-1.344106
12,January,1997,-0.963103
20,January,1997,-0.595249
27,January,1997,-0.456358
03,February,1997,-0.837122
09,February,1997,-0.982301
16,February,1997,-1.302482
23,February,1997,-1.398236
03,March,1997,-1.356582
10,March,1997,-1.242078
17,March,1997,-1.049478
23,March,1997,-0.55586
30,March,1997,-0.32119
07,April,1997,0.199991
14,April,1997,0.282411
21,April,1997,0.131415
27,April,1997,-0.070451
04,May,1997,0.344528
11,May,1997,-0.213679
19,May,1997,-0.785767
26,May,1997,-1.118468
02,June,1997,-0.933012
08,June,1997,-0.489211
15,June,1997,-0.070086
22,June,1997,0.422178
30,June,1997,0.976188
07,July,1997,1.009653
13,July,1997,1.043972
20,July,1997,1.064769
27,July,1997,0.794596
04,August,1997,0.254648
11,August,1997,0.406503
18,August,1997,0.744
24,August,1997,0.748735
31,August,1997,0.70739
07,September,1997,0.783695
15,September,1997,0.930693
22,September,1997,1.057116
29,September,1997,1.369767
05,October,1997,1.945272
12,October,1997,2.153207
19,October,1997,2.469895
27,October,1997,2.529025
03,November,1997,3.069673
09,November,1997,3.208716
16,November,1997,3.367483
23,November,1997,3.604127
01,December,1997,3.79676
08,December,1997,3.948687
15,December,1997,4.039791
21,December,1997,4.021252
28,December,1997,3.865265
04,January,1998,3.324924
12,January,1998,3.175237
19,January,1998,3.055263
26,January,1998,2.928525
01,February,1998,2.570955
08,February,1998,2.542038
16,February,1998,2.626077
23,February,1998,2.556669
02,March,1998,2.468336
08,March,1998,2.486144
15,March,1998,2.367293
22,March,1998,2.218156
30,March,1998,2.078248
06,April,1998,2.351608
13,April,1998,1.928899
19,April,1998,1.546755
26,April,1998,1.175948
03,May,1998,1.71952
11,May,1998,1.385306
18,May,1998,0.618419
24,May,1998,-0.270804
31,May,1998,-0.705175
07,June,1998,-0.628643
15,June,1998,-0.467449
22,June,1998,-0.349818
29,June,1998,-0.060557
05,July,1998,-0.142387
12,July,1998,-0.16591
19,July,1998,-0.357621
27,July,1998,-0.457968
03,August,1998,-1.056923
10,August,1998,-1.03725
16,August,1998,-0.812959
23,August,1998,-0.778898
31,August,1998,-0.664452
07,September,1998,-0.850014
14,September,1998,-0.670871
20,September,1998,-0.774401
27,September,1998,-1.297488
04,October,1998,-1.598274
12,October,1998,-1.670715
19,October,1998,-1.505119
26,October,1998,-1.521469
01,November,1998,-1.496681
08,November,1998,-1.937919
15,November,1998,-2.209228
23,November,1998,-2.251411
30,November,1998,-2.129899
06,December,1998,-1.977351
13,December,1998,-1.862328
20,December,1998,-1.809441
28,December,1998,-1.915602
04,January,1999,-2.132464
11,January,1999,-1.863697
17,January,1999,-1.734012
24,January,1999,-1.861916
31,January,1999,-2.274438
08,February,1999,-2.360124
15,February,1999,-2.135319
22,February,1999,-1.930646
28,February,1999,-1.867129
07,March,1999,-1.715757
15,March,1999,-1.692654
22,March,1999,-1.881135
29,March,1999,-2.290902
04,April,1999,-1.971421
11,April,1999,-2.215592
18,April,1999,-2.523397
26,April,1999,-2.534435
03,May,1999,-1.826068
10,May,1999,-1.598653
16,May,1999,-1.391813
23,May,1999,-1.356937
30,May,1999,-1.233111
07,June,1999,-0.861235
14,June,1999,-0.75251
21,June,1999,-0.403592
27,June,1999,0.065693
04,July,1999,-0.183146
12,July,1999,-0.165115
19,July,1999,-0.295884
26,July,1999,-0.489026
01,August,1999,-1.018069
08,August,1999,-0.82704
15,August,1999,-0.670685
23,August,1999,-0.508441
30,August,1999,-0.464501
06,September,1999,-0.648017
12,September,1999,-0.478061
19,September,1999,-0.524531
26,September,1999,-0.588997
04,October,1999,-0.494236
11,October,1999,-0.543023
17,October,1999,-0.809375
24,October,1999,-1.119921
31,October,1999,-0.935717
08,November,1999,-1.109659
15,November,1999,-1.134057
22,November,1999,-0.982772
28,November,1999,-0.684809
05,December,1999,-0.612274
12,December,1999,-0.890228
20,December,1999,-1.012341
27,December,1999,-1.042789
03,January,2000,-1.259419
10,January,2000,-1.195972
16,January,2000,-0.937081
23,January,2000,-0.740165
30,January,2000,-0.778371
