Decimal Year,Value
1997.0712329,-0.456358
1997.090411,-0.837122
1997.109589,-0.982301
1997.1287671,-1.302482
1997.1479452,-1.398236
1997.1671233,-1.356582
1997.1863014,-1.242078
1997.2054795,-1.049478
1997.2246575,-0.55586
1997.2438356,-0.32119
1997.2630137,0.199991
1997.2821918,0.282411
1997.3013699,0.131415
1997.3205479,-0.070451
1997.339726,0.344528
1997.3589041,-0.213679
1997.3780822,-0.785767
1997.3972603,-1.118468
1997.4164384,-0.933012
1997.4356164,-0.489211
1997.4547945,-0.070086
1997.4739726,0.422178
1997.4931507,0.976188
1997.5123288,1.009653
1997.5315068,1.043972
1997.5506849,1.064769
1997.569863,0.794596
1997.5890411,0.254648
1997.6082192,0.406503
1997.6273973,0.744
1997.6465753,0.748735
1997.6657534,0.70739
1997.6849315,0.783695
1997.7041096,0.930693
1997.7232877,1.057116
1997.7424658,1.369767
1997.7616438,1.945272
1997.7808219,2.153207
1997.8,2.469895
1997.8191781,2.529025
1997.8383562,3.069673
1997.8575342,3.208716
1997.8767123,3.367483
1997.8958904,3.604127
1997.9150685,3.79676
1997.9342466,3.948687
1997.9534247,4.039791
1997.9726027,4.021252
1997.9917808,3.865265
1998.0109589,3.324924
1998.030137,3.175237
1998.0493151,3.055263
1998.0684932,2.928525
1998.0876712,2.570955
1998.1068493,2.542038
1998.1260274,2.626077
1998.1452055,2.556669
1998.1643836,2.468336
1998.1835616,2.486144
1998.2027397,2.367293
1998.2219178,2.218156
1998.2410959,2.078248
1998.260274,2.351608
1998.2794521,1.928899
1998.2986301,1.546755
1998.3178082,1.175948
1998.3369863,1.71952
1998.3561644,1.385306
1998.3753425,0.618419
1998.3945205,-0.270804
1998.4136986,-0.705175
1998.4328767,-0.628643
1998.4520548,-0.467449
1998.4712329,-0.349818
1998.490411,-0.060557
1998.509589,-0.142387
1998.5287671,-0.16591
1998.5479452,-0.357621
1998.5671233,-0.457968
1998.5863014,-1.056923
1998.6054795,-1.03725
1998.6246575,-0.812959
1998.6438356,-0.778898
1998.6630137,-0.664452
1998.6821918,-0.850014
1998.7013699,-0.670871
1998.7205479,-0.774401
1998.739726,-1.297488
1998.7589041,-1.598274
1998.7780822,-1.670715
1998.7972603,-1.505119
1998.8164384,-1.521469
1998.8356164,-1.496681
1998.8547945,-1.937919
1998.8739726,-2.209228
1998.8931507,-2.251411
1998.9123288,-2.129899
1998.9315068,-1.977351
1998.9506849,-1.862328
1998.969863,-1.809441
1998.9890411,-1.915602
1999.0082192,-2.132464
1999.0273973,-1.863697
1999.0465753,-1.734012
1999.0657534,-1.861916
1999.0849315,-2.274438
1999.1041096,-2.360124
1999.1232877,-2.135319
1999.1424658,-1.930646
1999.1616438,-1.867129
1999.1808219,-1.715757
1999.2,-1.692654
1999.2191781,-1.881135
1999.2383562,-2.290902
1999.2575342,-1.971421
1999.2767123,-2.215592
1999.2958904,-2.523397
1999.3150685,-2.534435
1999.3342466,-1.826068
1999.3534247,-1.598653
1999.3726027,-1.391813
1999.3917808,-1.356937
1999.4109589,-1.233111
1999.430137,-0.861235
1999.4493151,-0.75251
1999.4684932,-0.403592
1999.4876712,0.065693
1999.5068493,-0.183146
1999.5260274,-0.165115
1999.5452055,-0.295884
1999.5643836,-0.489026
1999.5835616,-1.018069
1999.6027397,-0.82704
1999.6219178,-0.670685
1999.6410959,-0.508441
1999.660274,-0.464501
1999.6794521,-0.648017
1999.6986301,-0.478061
1999.7178082,-0.524531
1999.7369863,-0.588997
1999.7561644,-0.494236
1999.7753425,-0.543023
1999.7945205,-0.809375
1999.8136986,-1.119921
1999.8328767,-0.935717
1999.8520548,-1.109659
1999.8712329,-1.134057
1999.890411,-0.982772
1999.909589,-0.684809
1999.9287671,-0.612274
1999.9479452,-0.890228
1999.9671233,-1.012341
1999.9863014,-1.042789
2000.0054645,-1.259419
2000.0245902,-1.195972
2000.0437158,-0.937081
2000.0628415,-0.740165
2000.0819672,-0.778371
2000.1010929,-1.21406
2000.1202186,-1.385067
2000.1393443,-1.651054
2000.1584699,-1.674809
2000.1775956,-1.942496
2000.1967213,-2.10247
2000.215847,-2.176995
2000.2349727,-2.190716
2000.2540984,-1.567623
2000.273224,-1.542794
2000.2923497,-1.865094
2000.3114754,-2.261764
2000.3306011,-1.88763
2000.3497268,-1.940884
2000.3688525,-1.807317
2000.3879781,-1.433607
2000.4071038,-1.257269
2000.4262295,-1.109829
2000.4453552,-1.007181
2000.4644809,-0.997564
2000.4836066,-1.102998
2000.5027322,-1.517347
2000.5218579,-1.688881
2000.5409836,-1.526699
2000.5601093,-1.169424
2000.579235,-0.961731
2000.5983607,-1.551187
2000.6174863,-1.561738
2000.636612,-1.741615
2000.6557377,-1.801489
2000.6748634,-1.838164
2000.6939891,-1.532302
2000.7131148,-1.089476
2000.7322404,-0.877535
2000.7513661,-0.707507
2000.7704918,-0.693145
2000.7896175,-0.839774
2000.8087432,-1.217141
2000.8278689,-1.267727
2000.8469945,-0.992558
2000.8661202,-0.956023
2000.8852459,-1.032654
2000.9043716,-1.22456
2000.9234973,-1.30102
2000.942623,-1.249762
2000.9617486,-1.193961
2000.9808743,-1.131495
2001.0,-1.55877
2001.0191781,-1.495708
2001.0383562,-1.281995
2001.0575342,-1.065222
2001.0767123,-1.147641
2001.0958904,-1.558568
2001.1150685,-1.629081
2001.1342466,-1.734874
2001.1534247,-1.659867
2001.1726027,-1.515254
2001.1917808,-1.521562
2001.2109589,-1.328872
2001.230137,-1.054653
2001.2493151,-0.615144
2001.2684932,-0.84201
2001.2876712,-0.942218
2001.3068493,-1.054205
2001.3260274,-1.242261
2001.3452055,-0.950283
2001.3643836,-0.992025
2001.3835616,-0.973384
2001.4027397,-0.891143
2001.4219178,-0.683156
2001.4410959,-0.75471
2001.460274,-0.702687
2001.4794521,-0.581062
2001.4986301,-0.979049
2001.5178082,-0.856081
2001.5369863,-0.619122
2001.5561644,-0.471313
2001.5753425,-0.590711
2001.5945205,-1.287705
2001.6136986,-1.330815
2001.6328767,-1.223008
2001.6520548,-0.967561
2001.6712329,-1.064131
2001.690411,-0.899548
2001.709589,-0.871888
2001.7287671,-0.879427
2001.7479452,-0.69538
2001.7671233,-1.066631
2001.7863014,-1.322206
2001.8054795,-1.223489
2001.8246575,-1.162137
2001.8438356,-0.886021
2001.8630137,-0.981762
