Acanthastrea,Acrhelia,Acropora,Alveopora,Anacropora,Astrea,Astreopora,Australomussa,Barabattoia,Blastomussa,Bleaching,Cantharellus,Caryophyllia,Catalaphyllia,Caulastrea,Coelastrea,Coeloseris,Coeloseris mayeri,Coscinaraea,Coscinaria,Ctenactis,Culicia,Cycloseris,Cyphastrea,DHW_from_90th_HS>1,Dendrophyllia,Diaseris,Diploastrea,Diploastrea heliopora,Dipsastraea,Distichopora,ENSO,Echinophyllia,Echinopora,Euphyllia,Favia,Favites,Fungia,Galaxea,Gardineroseris,Gardineroseris planulata,Goniastrea,Goniastrea favulus,Goniastrea pectinata,Goniastrea retiformis,Goniopora,Heliofungia,Heliopora,Herpolitha,Heteropsammia,Hydnophora,IOD,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Merulina,Micromussa,Millepora,Montastrea,Month,Montigyra,Montipora,Moselaya,Mycedium,Oulastrea crispata,Oulophyllia,Oxypora,Pachyseris,Pachyseris rugosa,Palauastrea,Pavona,Pavona clavus,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleurogyra,Pocillopora,Podabacia,Podobacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Reef_Andaman & Nicobar Islands,Reef_Ashmore Reef north-west Australia,Reef_Christmas Island Indian Ocean,Reef_Cocos Keeling Atolls Indian Ocean,Reef_Gulf of Kachchh,Reef_Gulf of Mannar,Reef_Houtman Abrolhos Islands west Australia,Reef_Kimberley Coast north-west Australia,Reef_Lakshadweep,Reef_Ningaloo Reef and coastal north-west Australia,Reef_Rowley Shoals west Australia,Reef_Scott Reef west Australia,Rhizopsammia,SST@90th_HS,SSTA@90th_HS,SST_MAX,SST_MIN,Salinity,Sandalolitha,Scapophyllia,Seriatopora,Siderastrea,Stylaster,Stylocoeniella,Stylophora,Symphyllia,Trachyphyllia,Tubastrea,Tubipora,Turbinaria,Year,fCO2,pH_total
0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,0.630737,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.9050376,0,1,1,0,0,0,1,1,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,28.626774193548385,-0.2004225806451612,29.92,27.4,33.918987,0,0,1,0,0,0,1,1,0,0,0,1,1997,352.78262,8.080267
1,0,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1,0,0,0,1,0,0.630737,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-0.9050376,0,1,1,0,0,0,1,1,0,0,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.288709677419355,0.2782548387096774,29.97,27.59,34.596644625,0,0,1,0,0,0,1,1,0,0,0,0,1997,356.46080375,8.083373979166668
0,0,1,1,0,0,1,0,0,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,1,0.0,1,0,1,1,1,0,1.2039485,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0.1358415,1,1,1,1,0,0,1,1,0,0,0,4,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29.812666666666665,0.10064,30.54,27.71,32.8745801875,0,0,1,1,0,0,1,1,0,0,0,1,1997,355.393995625,8.074581625
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,1.2039485,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.1358415,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,25.999666666666663,-0.45997,27.86,24.27,36.35479,0,0,0,1,0,0,0,1,0,0,0,1,1997,391.9828,8.060422
0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,1.2039485,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.1358415,0,1,1,0,0,0,1,1,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,29.949333333333332,0.2842766666666667,30.99,28.79,34.041138,0,0,1,0,0,0,1,1,0,0,0,1,1997,356.52686,8.076875
1,0,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1,0,0,0,1,0,1.2039485,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0.1358415,0,1,1,0,0,0,1,1,0,0,0,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.082666666666668,0.4344766666666667,31.0,28.78,34.709765999999995,0,0,1,0,0,0,1,1,0,0,0,0,1997,361.26291583333335,8.079503729166666
0,0,1,1,0,0,1,0,0,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,1,1.5571,1,0,1,1,1,0,1.53191625,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,-0.4433465,1,1,1,1,0,0,1,1,0,0,0,5,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30.011935483870968,0.3670483870967742,31.8,27.9,32.9470068125,0,0,1,1,0,0,1,1,0,0,0,1,1997,352.854215,8.0781916875
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,1.53191625,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-0.4433465,0,1,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,28.21903225806452,-0.1361677419354839,29.16,26.2,36.437794,0,0,0,1,0,0,0,1,0,0,0,1,1997,392.81116,8.059653
0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,1.53191625,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.4433465,0,1,1,0,0,0,1,1,0,0,0,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,30.030967741935484,0.4410903225806452,30.79,28.09,34.19941,0,0,1,0,0,0,1,1,0,0,0,1,1997,358.62152,8.072525
1,0,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3271,1,0,0,0,1,0,1.53191625,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-0.4433465,0,1,1,0,0,0,1,1,0,0,0,5,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.581935483870968,0.7715,31.39,28.98,34.955354166666666,0,0,1,0,0,0,1,1,0,0,0,0,1997,362.29366625,8.080037062499999
0,0,1,1,0,0,1,0,0,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,1,1.5571,1,0,1,1,1,0,1.7849214,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,-0.0187886,1,1,1,1,0,0,1,1,0,0,0,6,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29.253,0.3585366666666666,30.13,27.63,33.0219770625,0,0,1,1,0,0,1,1,0,0,0,1,1997,350.54298125,8.07992928125
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,1.7849214,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-0.0187886,0,1,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29.14133333333333,0.3375833333333333,30.18,27.34,36.539436,0,0,0,1,0,0,0,1,0,0,0,1,1997,392.09216,8.060304
0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,1.7849214,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.0187886,0,1,1,0,0,0,1,1,0,0,0,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,29.35233333333333,1.1470166666666666,30.86,27.77,34.43527,0,0,1,0,0,0,1,1,0,0,0,1,1997,374.51636,8.060301
1,0,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3271,1,0,0,0,1,0,1.7849214,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-0.0187886,0,1,1,0,0,0,1,1,0,0,0,6,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.959,1.149773333333333,31.0,28.34,35.277677125000004,0,0,1,0,0,0,1,1,0,0,0,0,1997,356.5923966666667,8.087001083333334
0,0,1,1,0,0,1,0,0,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,1,1.5571,1,0,1,1,1,0,1.99414025,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0.9782475,1,1,1,1,0,0,1,1,0,0,0,7,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28.504193548387097,0.2709290322580645,29.07,27.54,33.041463625,0,0,1,1,0,0,1,1,0,0,0,1,1997,345.312556875,8.084083
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5257,0,0,0,0,0,0,1.99414025,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.9782475,0,1,0,0,0,0,0,1,0,0,0,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29.37032258064516,1.0931967741935484,30.77,27.37,36.554104,0,0,0,1,0,0,0,1,0,0,0,1,1997,396.7945,8.056115
0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,1.99414025,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.9782475,0,1,1,0,0,0,1,1,0,0,0,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,29.32,1.0255838709677418,30.34,26.48,34.611534,0,0,1,0,0,0,1,1,0,0,0,1,1997,393.6829,8.047803
1,0,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3271,1,0,0,0,1,0,1.99414025,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0.9782475,0,1,1,0,0,0,1,1,0,0,0,7,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.176451612903225,0.2935387096774193,29.67,26.57,35.46550225,0,0,1,0,0,0,1,1,0,0,0,0,1997,359.63739875000005,8.085127541666667
0,0,1,1,0,0,1,0,0,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,1,1.2243,1,0,1,1,1,0,2.4541846,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0.5722552000000001,1,1,1,1,0,0,1,1,0,0,0,8,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28.37548387096774,0.3632935483870967,28.84,27.38,32.971632,0,0,1,1,0,0,1,1,0,0,0,1,1997,340.464855,8.08903140625
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5257,0,0,0,0,0,0,2.4541846,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.5722552000000001,0,1,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,28.45903225806452,0.764941935483871,29.36,26.79,36.52838,0,0,0,1,0,0,0,1,0,0,0,1,1997,394.45654,8.059383
0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,2.4541846,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.5722552000000001,0,1,1,0,0,0,1,1,0,0,0,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,28.91870967741935,0.640125806451613,29.93,26.0,34.71382,0,0,1,0,0,0,1,1,0,0,0,1,1997,375.1237,8.064054
1,0,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1,0,0,0,1,0,2.4541846,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0.5722552000000001,0,1,1,0,0,0,1,1,0,0,0,8,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.278387096774196,0.5627548387096774,28.96,26.59,35.59260679166667,0,0,1,0,0,0,1,1,0,0,0,0,1997,359.50168041666666,8.086068562500001
